"variable" "mx" "sdx" "my" "sdy" "t" "sig05" "sig10" "study" "n" "es" "var" "se" "ci.lo" "ci.hi"
"1" "SAI_SA" 3.08 0.33 2.89 0.32 3.05 1 NA 1 59 0.584546211641751 0.0353711252293351 0.188072127731185 0.215924841288629 0.953167581994873
"2" "AFI_SA" 3.04 0.38 2.94 0.29 1.64 NA 1 1 59 0.295850219363774 0.034275578154994 0.185136647250062 -0.0670176092463482 0.658718047973896
"3" "CFI_SA" 3.11 0.33 2.9 0.31 3.51 1 NA 1 59 0.655929799932145 0.0357528046642243 0.189084120603038 0.28532492355019 1.0265346763141
"4" "SAC_SA" 3.08 0.34 2.89 0.3 3.28 1 NA 1 59 0.592593718474215 0.0354119573053281 0.188180650719802 0.223759643063403 0.961427793885027
"5" "AFC_SA" 3.03 0.35 2.94 0.31 1.43 NA NA 1 59 0.272227771808506 0.0342177359457105 0.184980366379004 -0.0903337462943415 0.634789289911354
"6" "CFC_SA" 3.06 0.35 2.91 0.31 2.51 1 NA 1 59 0.453712953014177 0.0347856130318701 0.186509015953305 0.0881552817457 0.819270624282655
"7" "SAI_SA" 3.57 0.41 3.44 0.38 2.46 1 NA 2 99 0.328876876657511 0.0204779385693671 0.14310114803651 0.0483986265059517 0.609355126809071
"8" "AFI_SA" 3.57 0.39 3.46 0.41 2.06 1 NA 2 99 0.274914102762233 0.0203948206201262 0.142810435963645 -0.00499435172650997 0.554822557250977
"9" "CFI_SA" 3.56 0.43 3.46 0.37 1.75 NA 1 2 99 0.249299827472114 0.0203605671509427 0.142690459214843 -0.0303734725889775 0.528973127533206
"10" "SAC_SA" 3.65 0.32 3.41 0.42 4.2 1 NA 2 99 0.642805900806696 0.021256100370673 0.14579471996843 0.357048249668572 0.928563551944819
"11" "AFC_SA" 3.55 0.39 3.47 0.41 1.37 NA NA 2 99 0.199937529281624 0.0203039972826713 0.14249209550944 -0.0793469779168784 0.479222036480126
"12" "CFC_SA" 3.51 0.44 3.51 0.36 0.02 NA NA 2 99 0 0.0202020202020202 0.14213381090374 -0.278582269371331 0.278582269371331
"13" "SAI_VI" 3.82 0.75 3.61 0.68 1.61 NA NA 1 59 0.293355034573951 0.0342692411895297 0.185119532166462 -0.0694792484723146 0.656189317620216
"14" "AFI_VI" 3.9 0.67 3.57 0.74 2.51 1 NA 1 59 0.467509334046897 0.0348403955046638 0.186655820977176 0.101663924931631 0.833354743162163
"15" "CFI_VI" 3.94 0.65 3.57 0.74 2.76 1 NA 1 59 0.531261653461567 0.0351148522590506 0.187389573506774 0.16397808938829 0.898545217534843
"16" "SAC_VI" 3.87 0.74 3.57 0.68 2.33 1 NA 1 59 0.422158526838176 0.0346664853510483 0.186189380339074 0.057227341373591 0.78708971230276
"17" "AFC_VI" 3.76 0.75 3.66 0.7 0.83 NA NA 1 59 0.137849103359115 0.0339802118748187 0.184337223248097 -0.223451854207155 0.499150060925385
"18" "CFC_Vi" 3.84 0.71 3.61 0.72 1.76 NA 1 1 59 0.32167045658653 0.0343443045788862 0.185322164294739 -0.0415609854311582 0.684901898604219
"19" "SAI_VI" 3.45 0.74 3.34 0.66 1.1 NA NA 2 99 0.156886923980911 0.0202648097604799 0.142354521391067 -0.122127937945581 0.435901785907403
"20" "AFI_VI" 3.47 0.73 3.34 0.69 1.25 NA NA 2 99 0.183025990994678 0.0202874755932947 0.142434109655288 -0.0961448639296869 0.462196845919043
"21" "CFI_VI" 3.5 0.76 3.29 0.63 2.05 1 NA 2 99 0.300845396834164 0.0204329078367047 0.142943722620844 0.0206757004973109 0.581015093171018
"22" "SAC_VI" 3.69 0.63 3.21 0.69 4.94 1 NA 2 99 0.7265225746984 0.021548538190659 0.14679420353222 0.438805935775248 1.01423921362155
"23" "AFC_VI" 3.54 0.63 3.27 0.75 2.76 1 NA 2 99 0.389833273641789 0.0205896987255872 0.143491110266759 0.108590697518941 0.671075849764637
"24" "CFC_Vi" 3.45 0.75 3.35 0.65 1.06 NA NA 2 99 0.142494099975819 0.0202538175707139 0.142315907651653 -0.136445079021421 0.42143327897306
"25" "SAI_CO" 3.04 0.52 3.18 0.47 -1.59 NA NA 1 59 -0.28246825788178 0.0342422202429818 0.185046535344442 -0.645159467156886 0.0802229513933268
"26" "AFI_CO" 2.97 0.44 3.22 0.51 -2.85 1 NA 1 59 -0.524892801591795 0.035085858762172 0.18731219597819 -0.892024705709048 -0.157760897474541
"27" "CFI_CO" 2.88 0.44 3.26 0.47 -4.43 1 NA 1 59 -0.834711365642309 0.0369015079465236 0.192097652110908 -1.21122276377969 -0.458199967504929
"28" "SAC_CO" 2.99 0.51 3.22 0.46 -2.59 1 NA 1 59 -0.473598039290271 0.0348650943210371 0.186721970643621 -0.839573101751767 -0.107622976828774
"29" "AFC_CO" 3.02 0.44 3.2 0.53 -1.99 1 NA 1 59 -0.369546756254139 0.0344869464858576 0.185706614006765 -0.733531719707398 -0.00556179280087932
"30" "CFC_CO" 2.96 0.49 3.25 0.46 -3.3 1 NA 1 59 -0.61022212572757 0.035503352682709 0.188423333700232 -0.979531859780025 -0.240912391675115
"31" "SAI_DP" 1.68 0.52 1.82 0.6 -1.34 NA NA 2 99 -0.249364674957684 0.0203606496436446 0.14269074827628 -0.529038541579192 0.030309191663824
"32" "AFI_DP" 1.66 0.49 1.82 0.6 -1.57 NA NA 2 99 -0.292094357153791 0.0204196710017169 0.14289741425833 -0.572173289100119 -0.0120154252074641
"33" "CFI_DP" 1.66 0.5 1.86 0.61 -1.97 NA 1 2 99 -0.358603804546561 0.020530072979151 0.143283191544406 -0.639438859973597 -0.0777687491195246
