"";"cor";"lwr.ci";"upr.ci";"variable";"study";"n"
"correlations_CI";0,27;0,0938195061754684;0,429783750010223;"SAI_SA";1;118
"x";0,12;-0,0621065174076439;0,294374053540008;"AFI_SA";1;118
"x.1";0,27;0,0938195061754684;0,429783750010223;"CFI_SA";1;118
"x.2";-0,24;-0,403264823624787;-0,0619271829630356;"FSI_SA";1;118
"x.3";0,49;0,339292485594107;0,616182765018737;"SAC_SA";1;118
"x.4";0,28;0,104531242765946;0,438562557231544;"AFC_SA";1;118
"x.5";0,48;0,327670836175471;0,608006023817164;"CFC_SA";1;118
"x.6";0,07;-0,112178772707165;0,247626105805452;"FSC_SA";1;118
"x.7";0,07;-0,112178772707165;0,247626105805452;"SAI_VI";1;118
"x.8";0,21;0,0303943977723838;0,376468802945129;"AFI_VI";1;118
"x.9";0,22;0,0408657535076807;0,38543186571403;"CFI_VI";1;118
"x.10";-0,13;-0,303624569637949;0,0519808403349615;"FSI_VI";1;118
"x.11";0,45;0,293080295311876;0,583311779259248;"SAC_VI";1;118
"x.12";0,37;0,202804395824786;0,516233185162022;"AFC_VI";1;118
"x.13";0,32;0,147789213322362;0,473377769656969;"CFC_VI";1;118
"x.14";0,12;-0,0621065174076439;0,294374053540008;"FSC_VI";1;118
"x.15";0,26;0,123654303628575;0,386710612418526;"SAI_SA";2;194
"x.16";0,13;-0,0110777134512638;0,266003326350406;"AFI_SA";2;194
"x.17";0,06;-0,0815642603316634;0,199191177700291;"CFI_SA";2;194
"x.18";-0,11;-0,247046548500442;0,0313608136621321;"FSI_SA";2;194
"x.19";0,56;0,455021788733333;0,649625909687428;"SAC_SA";2;194
"x.20";0,35;0,219971098382153;0,467808960001014;"AFC_SA";2;194
"x.21";0,26;0,123654303628575;0,386710612418526;"CFC_SA";2;194
"x.22";0,13;-0,0110777134512638;0,266003326350406;"FSC_SA";2;194
"x.23";0,16;0,0195661820315145;0,294242618164566;"SAI_VI";2;194
"x.24";0,1;-0,041458890663702;0,237528658056993;"AFI_VI";2;194
"x.25";0,21;0,0712324823359463;0,340792918220997;"CFI_VI";2;194
"x.26";0,01;-0,131059469024358;0,150662593521732;"FSI_VI";2;194
"x.27";0,55;0,443487052780097;0,641194355737025;"SAC_VI";2;194
"x.28";0,42;0,29667888891636;0,529543131723288;"AFC_VI";2;194
"x.29";0,33;0,198346008258838;0,449956927949215;"CFC_VI";2;194
"x.30";0,11;-0,0313608136621321;0,247046548500442;"FSC_VI";2;194
"x.31";-0,13;-0,304350517560512;0,052778507723611;"SAI_DP";2;117
"x.32";-0,17;-0,341009221596273;0,0119002206139099;"AFI_DP";2;117
"x.33";-0,1;-0,27651334367786;0,0830404302163906;"CFI_DP";2;117
"x.34";0,09;-0,0930532739711473;0,26716799064473;"FSI_DP";2;117
"x.35";-0,38;-0,525296678906501;-0,213172183879947;"SAC_DP";2;117
"x.36";-0,36;-0,508313720360345;-0,19094568500774;"AFC_DP";2;117
"x.37";-0,14;-0,313563867272341;0,042616042976752;"CFC_DP";2;117
"x.38";-0,11;-0,285825431183575;0,0729904925207447;"FSC_DP";2;117
"x.39";-0,14;-0,313563867272341;0,042616042976752;"SAI_AN";2;117
"x.40";-0,22;-0,386112691961215;-0,0400672013960629;"AFI_AN";2;117
"x.41";-0,05;-0,229450332555392;0,132737786853262;"CFI_AN";2;117
"x.42";0,18;-0,00158475598574666;0,350093345186863;"FSI_AN";2;117
"x.43";-0,5;-0,62482023527625;-0,350258786769029;"SAC_AN";2;117
"x.44";-0,48;-0,60850995456518;-0,326956666913215;"AFC_AN";2;117
"x.45";-0,15;-0,322744653160121;0,0324156489694958;"CFC_AN";2;117
"x.46";-0,04;-0,219935947548436;0,142568205810026;"FSC_AN";2;117
