"";"cor";"lwr.ci";"upr.ci";"variable";"study";"n"
"correlations_CI2";0;-0,180759357307101;0,180759357307101;"SAI_SA";1;118
"x";0;-0,180759357307101;0,180759357307101;"AFI_SA";1;118
"x.1";0;-0,180759357307101;0,180759357307101;"CFI_SA";1;118
"x.2";0;-0,180759357307101;0,180759357307101;"FSI_SA";1;118
"x.3";0;-0,180759357307101;0,180759357307101;"SAC_SA";1;118
"x.4";0;-0,180759357307101;0,180759357307101;"AFC_SA";1;118
"x.5";0;-0,180759357307101;0,180759357307101;"CFC_SA";1;118
"x.6";0;-0,180759357307101;0,180759357307101;"FSC_SA";1;118
"x.7";0;-0,180759357307101;0,180759357307101;"SAI_VI";1;118
"x.8";0;-0,180759357307101;0,180759357307101;"AFI_VI";1;118
"x.9";0;-0,180759357307101;0,180759357307101;"CFI_VI";1;118
"x.10";0;-0,180759357307101;0,180759357307101;"FSI_VI";1;118
"x.11";0;-0,180759357307101;0,180759357307101;"SAC_VI";1;118
"x.12";0;-0,180759357307101;0,180759357307101;"AFC_VI";1;118
"x.13";0;-0,180759357307101;0,180759357307101;"CFC_VI";1;118
"x.14";0;-0,180759357307101;0,180759357307101;"FSC_VI";1;118
"x.15";0;-0,140874839208102;0,140874839208102;"SAI_SA";2;194
"x.16";0;-0,140874839208102;0,140874839208102;"AFI_SA";2;194
"x.17";0;-0,140874839208102;0,140874839208102;"CFI_SA";2;194
"x.18";0;-0,140874839208102;0,140874839208102;"FSI_SA";2;194
"x.19";0;-0,140874839208102;0,140874839208102;"SAC_SA";2;194
"x.20";0;-0,140874839208102;0,140874839208102;"AFC_SA";2;194
"x.21";0;-0,140874839208102;0,140874839208102;"CFC_SA";2;194
"x.22";0;-0,140874839208102;0,140874839208102;"FSC_SA";2;194
"x.23";0;-0,140874839208102;0,140874839208102;"SAI_VI";2;194
"x.24";0;-0,140874839208102;0,140874839208102;"AFI_VI";2;194
"x.25";0;-0,140874839208102;0,140874839208102;"CFI_VI";2;194
"x.26";0;-0,140874839208102;0,140874839208102;"FSI_VI";2;194
"x.27";0;-0,140874839208102;0,140874839208102;"SAC_VI";2;194
"x.28";0;-0,140874839208102;0,140874839208102;"AFC_VI";2;194
"x.29";0;-0,140874839208102;0,140874839208102;"CFC_VI";2;194
"x.30";0;-0,140874839208102;0,140874839208102;"FSC_VI";2;194
"x.31";0;-0,181532972602057;0,181532972602057;"SAI_DP";2;117
"x.32";0;-0,181532972602057;0,181532972602057;"AFI_DP";2;117
"x.33";0;-0,181532972602057;0,181532972602057;"CFI_DP";2;117
"x.34";0;-0,181532972602057;0,181532972602057;"FSI_DP";2;117
"x.35";0;-0,181532972602057;0,181532972602057;"SAC_DP";2;117
"x.36";0;-0,181532972602057;0,181532972602057;"AFC_DP";2;117
"x.37";0;-0,181532972602057;0,181532972602057;"CFC_DP";2;117
"x.38";0;-0,181532972602057;0,181532972602057;"FSC_DP";2;117
"x.39";0;-0,181532972602057;0,181532972602057;"SAI_AN";2;117
"x.40";0;-0,181532972602057;0,181532972602057;"AFI_AN";2;117
"x.41";0;-0,181532972602057;0,181532972602057;"CFI_AN";2;117
"x.42";0;-0,181532972602057;0,181532972602057;"FSI_AN";2;117
"x.43";0;-0,181532972602057;0,181532972602057;"SAC_AN";2;117
"x.44";0;-0,181532972602057;0,181532972602057;"AFC_AN";2;117
"x.45";0;-0,181532972602057;0,181532972602057;"CFC_AN";2;117
"x.46";0;-0,181532972602057;0,181532972602057;"FSC_AN";2;117
