variable;beta;correlation;sig05_beta;sig05_cor;sig10_beta;sig10_cor;study;n
SAI_SA;0,48;0,27;1;1;;;1;118
AFI_SA;0,16;0,12;;;;;1;118
CFI_SA;0,32;0,27;1;1;;;1;118
FSI_SA;-0,47;-0,24;1;1;;;1;118
SAC_SA;0,39;0,49;1;1;;;1;118
AFC_SA;-0,1;0,28;;1;;;1;118
CFC_SA;0,33;0,48;1;1;;;1;118
FSC_SA;-0,38;0,07;1;;;;1;118
SAI_VI;0,01;0,07;;;;;1;118
AFI_VI;0,33;0,21;1;1;;;1;118
CFI_VI;0,24;0,22;1;1;;;1;118
FSI_VI;-0,3;-0,13;1;;;;1;118
SAC_VI;0,3;0,45;1;1;;;1;118
AFC_VI;0,12;0,37;;1;;;1;118
CFC_VI;0,06;0,32;;1;;;1;118
FSC_VI;-0,25;0,12;1;;;;1;118
SAI_SA;0,41;0,26;1;1;;;2;194
AFI_SA;0,14;0,13;;;;;2;194
CFI_SA;0,01;0,06;;;;;2;194
FSI_SA;-0,26;-0,11;1;;;;2;194
SAC_SA;0,44;0,56;1;1;;;2;194
AFC_SA;0,06;0,35;;1;;;2;194
CFC_SA;-0,04;0,26;;1;;;2;194
FSC_SA;-0,25;0,13;1;;;;2;194
SAI_VI;0,09;0,16;;1;;;2;194
AFI_VI;-0,04;0,1;;;;;2;194
CFI_VI;0,16;0,21;;1;1;;2;194
FSI_VI;-0,16;0,01;;;1;;2;194
SAC_VI;-0,36;0,55;1;1;;;2;194
AFC_VI;0,14;0,42;;1;;;2;194
CFC_VI;0,03;0,33;;1;;;2;194
FSC_VI;-0,33;0,11;1;;;;2;194
SAI_DP;-0,17;-0,13;;;;;2;117
AFI_DP;-0,21;-0,17;;;1;;2;117
CFI_DP;-0,08;-0,1;;;;;2;117
FSI_DP;0,24;0,09;1;;;;2;117
SAC_DP;-0,15;-0,38;;1;;;2;117
AFC_DP;-0,22;-0,36;;1;1;;2;117
CFC_DP;0,11;-0,14;;;;;2;117
FSC_DP;0,1;-0,11;;;;;2;117
SAI_AN;-0,25;-0,14;1;;;;2;117
AFI_AN;-0,37;-0,22;1;1;;;2;117
CFI_AN;-0,05;-0,05;;;;;2;117
FSI_AN;0,32;0,18;1;1;;;2;117
SAC_AN;-0,37;-0,5;1;1;;;2;117
AFC_AN;-0,36;-0,48;1;1;;;2;117
CFC_AN;0,17;-0,15;;;;;2;117
FSC_AN;0,22;-0,04;1;;;;2;117
MONEY_SA;0;-0,27;1;1;;;1;118
MONEY_VI;0;-0,23;1;1;;;1;118
MONEY_CO;0;0,35;1;1;;;1;118
MONEY_VI;0;-0,21;1;1;;;2;194
MONEY_DP;0;0,28;1;1;;;2;117
MONEY_AN;0;0,22;1;1;;;2;117
