variable;beta;correlation;sig05_beta;sig05_cor;sig10_beta;sig10_cor;study;n
SAI_SA;0;0;1;1;;;1;118
AFI_SA;0;0;;;;;1;118
CFI_SA;0;0;1;1;;;1;118
FSI_SA;0;0;1;1;;;1;118
SAC_SA;0;0;1;1;;;1;118
AFC_SA;0;0;;1;;;1;118
CFC_SA;0;0;1;1;;;1;118
FSC_SA;0;0;1;;;;1;118
SAI_VI;0;0;;;;;1;118
AFI_VI;0;0;1;1;;;1;118
CFI_VI;0;0;1;1;;;1;118
FSI_VI;0;0;1;;;;1;118
SAC_VI;0;0;1;1;;;1;118
AFC_VI;0;0;;1;;;1;118
CFC_VI;0;0;;1;;;1;118
FSC_VI;0;0;1;;;;1;118
SAI_SA;0;0;1;1;;;2;194
AFI_SA;0;0;;;;;2;194
CFI_SA;0;0;;;;;2;194
FSI_SA;0;0;1;;;;2;194
SAC_SA;0;0;1;1;;;2;194
AFC_SA;0;0;;1;;;2;194
CFC_SA;0;0;;1;;;2;194
FSC_SA;0;0;1;;;;2;194
SAI_VI;0;0;;1;;;2;194
AFI_VI;0;0;;;;;2;194
CFI_VI;0;0;;1;1;;2;194
FSI_VI;0;0;;;1;;2;194
SAC_VI;0;0;1;1;;;2;194
AFC_VI;0;0;;1;;;2;194
CFC_VI;0;0;;1;;;2;194
FSC_VI;0;0;1;;;;2;194
SAI_DP;0;0;;;;;2;117
AFI_DP;0;0;;;1;;2;117
CFI_DP;0;0;;;;;2;117
FSI_DP;0;0;1;;;;2;117
SAC_DP;0;0;;1;;;2;117
AFC_DP;0;0;;1;1;;2;117
CFC_DP;0;0;;;;;2;117
FSC_DP;0;0;;;;;2;117
SAI_AN;0;0;1;;;;2;117
AFI_AN;0;0;1;1;;;2;117
CFI_AN;0;0;;;;;2;117
FSI_AN;0;0;1;1;;;2;117
SAC_AN;0;0;1;1;;;2;117
AFC_AN;0;0;1;1;;;2;117
CFC_AN;0;0;;;;;2;117
FSC_AN;0;0;1;;;;2;117
