variable;mm;sdm;nm;mf;sdf;nf;study
SAI;4,6;0,41;42;4,7;0,32;76;1
AFI;4,6;0,45;42;4,8;0,25;76;1
CFI;4,1;0,53;42;4,4;0,46;76;1
FSI;4;0,64;42;3,5;0,85;76;1
SAC;4,1;0,53;42;4,1;0,51;76;1
AFC;4,3;0,61;42;4,5;0,49;76;1
CFC;3,9;0,56;42;4,1;0,55;76;1
FSC;3,8;0,66;42;3,5;0,62;76;1
SAI;3,9;0,31;65;3,8;0,34;133;2
AFI;3,8;0,36;65;3,9;0,27;133;2
CFI;3,3;0,61;65;3,4;0,47;133;2
FSI;3,3;0,67;65;3,1;0,62;133;2
SAC;3,5;0,45;65;3,3;0,5;133;2
AFC;3,6;0,43;65;3,5;0,48;133;2
CFC;3,1;0,56;65;3,2;0,52;133;2
FSC;3,2;0,55;65;2,9;0,57;133;2
