"";"cor";"lwr.ci";"upr.ci";"Variable";"study";"header"
"1";NA;NA;NA;"Self Actualization";NA;NA
"2";NA;NA;NA;"  Study 1";NA;1
"21";0;-0,180759357307101;0,180759357307101;"       Self Accpetnace I";1;NA
"3";0;-0,180759357307101;0,180759357307101;"       Affiliation I";1;NA
"4";0;-0,180759357307101;0,180759357307101;"       Community Feeling I";1;NA
"5";0;-0,180759357307101;0,180759357307101;"       Financial Success I";1;NA
"6";0;-0,180759357307101;0,180759357307101;"       Self Acceptance C";1;NA
"7";0;-0,180759357307101;0,180759357307101;"       Affiliation C";1;NA
"8";0;-0,180759357307101;0,180759357307101;"       Community Feeling C";1;NA
"9";0;-0,180759357307101;0,180759357307101;"       Financial Success C";1;NA
"18";NA;NA;NA;"  Study 2";NA;1
"10";0;-0,140874839208102;0,140874839208102;"       Self Accpetnace I";2;NA
"11";0;-0,140874839208102;0,140874839208102;"       Affiliation I";2;NA
"12";0;-0,140874839208102;0,140874839208102;"       Community Feeling I";2;NA
"13";0;-0,140874839208102;0,140874839208102;"       Financial Success I";2;NA
"14";0;-0,140874839208102;0,140874839208102;"       Self Acceptance C";2;NA
"15";0;-0,140874839208102;0,140874839208102;"       Affiliation C";2;NA
"16";0;-0,140874839208102;0,140874839208102;"       Community Feeling C";2;NA
"17";0;-0,140874839208102;0,140874839208102;"       Financial Success C";2;NA
"110";NA;NA;NA;"Vitality";NA;NA
"210";NA;NA;NA;"  Study 1";NA;1
"171";0;-0,180759357307101;0,180759357307101;"       Self Accpetnace I";1;NA
"181";0;-0,180759357307101;0,180759357307101;"       Affiliation I";1;NA
"19";0;-0,180759357307101;0,180759357307101;"       Community Feeling I";1;NA
"20";0;-0,180759357307101;0,180759357307101;"       Financial Success I";1;NA
"211";0;-0,180759357307101;0,180759357307101;"       Self Acceptance C";1;NA
"22";0;-0,180759357307101;0,180759357307101;"       Affiliation C";1;NA
"23";0;-0,180759357307101;0,180759357307101;"       Community Feeling C";1;NA
"24";0;-0,180759357307101;0,180759357307101;"       Financial Success C";1;NA
"111";NA;NA;NA;"  Study 2";NA;1
"25";0;-0,140874839208102;0,140874839208102;"       Self Accpetnace I";2;NA
"26";0;-0,140874839208102;0,140874839208102;"       Affiliation I";2;NA
"27";0;-0,140874839208102;0,140874839208102;"       Community Feeling I";2;NA
"28";0;-0,140874839208102;0,140874839208102;"       Financial Success I";2;NA
"29";0;-0,140874839208102;0,140874839208102;"       Self Acceptance C";2;NA
"30";0;-0,140874839208102;0,140874839208102;"       Affiliation C";2;NA
"31";0;-0,140874839208102;0,140874839208102;"       Community Feeling C";2;NA
"32";0;-0,140874839208102;0,140874839208102;"       Financial Success C";2;NA
"112";NA;NA;NA;"Depression";NA;NA
"212";NA;NA;NA;"  Study 2";NA;1
"33";0;-0,181532972602057;0,181532972602057;"       Self Accpetnace I";2;NA
"34";0;-0,181532972602057;0,181532972602057;"       Affiliation I";2;NA
"35";0;-0,181532972602057;0,181532972602057;"       Community Feeling I";2;NA
"36";0;-0,181532972602057;0,181532972602057;"       Financial Success I";2;NA
"37";0;-0,181532972602057;0,181532972602057;"       Self Acceptance C";2;NA
"38";0;-0,181532972602057;0,181532972602057;"       Affiliation C";2;NA
"39";0;-0,181532972602057;0,181532972602057;"       Community Feeling C";2;NA
"40";0;-0,181532972602057;0,181532972602057;"       Financial Success C";2;NA
"113";NA;NA;NA;"Anxiety";NA;NA
"213";NA;NA;NA;"  Study 2";NA;1
"41";0;-0,181532972602057;0,181532972602057;"       Self Accpetnace I";2;NA
"42";0;-0,181532972602057;0,181532972602057;"       Affiliation I";2;NA
"43";0;-0,181532972602057;0,181532972602057;"       Community Feeling I";2;NA
"44";0;-0,181532972602057;0,181532972602057;"       Financial Success I";2;NA
"45";0;-0,181532972602057;0,181532972602057;"       Self Acceptance C";2;NA
"46";0;-0,181532972602057;0,181532972602057;"       Affiliation C";2;NA
"47";0;-0,181532972602057;0,181532972602057;"       Community Feeling C";2;NA
"48";0;-0,181532972602057;0,181532972602057;"       Financial Success C";2;NA
